"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 09/10/2023

Product: Historical Climate (Daily) - gridMET (METDATA)(http://www.climatologylab.org/gridmet.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 38.1917 North,-121.2250 East" 
Variable List: 
tmmn: Min Temperature
tmmx: Max Temperature
pr: Precipitation
pet: ASCE Grass Reference Evapotranspiration (ETo)
srad: Downward Shortwave Radiation
rmin: Min Rel. Humidity
rmax: Max Rel. Humidity
********************************************************
Year,Month,Day,tmmn(degC),tmmx(degC),pr(mm),pet(mm),srad(Wm-2),rmin(%),rmax(%)
2018,5,1,8.25,25.35,0,5.4,302,28.7,84.9
2018,5,2,8.25,25.95,0,5.4,340.4,30.4,92.9
2018,5,3,9.75,25.15,0,5.3,340,34.6,89.8
2018,5,4,9.55,29.65,0,5.7,343.1,26.4,93.3
2018,5,5,9.15,27.25,0,4.9,289.9,33.5,100
2018,5,6,9.25,25.15,0,5.1,328.7,35.4,94.7
2018,5,7,9.45,29.85,0,6.4,349.5,28.2,100
2018,5,8,11.25,30.25,0,6.2,328.4,27.6,89.7
2018,5,9,10.95,27.05,0,5.8,344,33.7,90.8
2018,5,10,10.65,28.55,0,6.1,340.5,28.8,87.9
2018,5,11,12.35,28.25,0,7.4,350.6,24.1,66.2
2018,5,12,11.95,28.75,0,7,351,20.2,60.2
2018,5,13,11.05,24.85,0,5.8,349.5,34.1,80
2018,5,14,10.75,24.45,0,5.5,351.3,36.9,85.4
2018,5,15,11.45,24.25,2.6,5.5,344.5,37.4,81.5
2018,5,16,9.55,22.35,0.4,4.4,282.6,41.5,90.6
2018,5,17,9.15,27.35,0,6,345,30.1,94.1
2018,5,18,11.05,28.25,0,6.3,351.3,32.6,93.7
2018,5,19,10.35,26.15,0,5.8,351.8,34.1,90.3
2018,5,20,9.45,23.75,0,5.1,329,36.6,88.7
2018,5,21,9.65,28.35,0,6.3,353.2,28.4,91.7
2018,5,22,11.75,25.85,0,5.7,354.1,36.6,86.3
2018,5,23,11.25,23.55,0,5.3,355.9,41.2,86.5
2018,5,24,11.35,24.45,0,5.7,354.9,36,80.2
2018,5,25,11.75,19.45,7.1,3.2,200.3,56,86.3
2018,5,26,11.55,24.15,0,4.7,271.9,38.8,83.2
2018,5,27,11.95,31.15,0,7.2,360,25.4,84
2018,5,28,14.05,34.55,0,7.8,363.4,20.9,75.2
2018,5,29,14.25,35.75,0,8.2,361.6,19.8,75.8
2018,5,30,10.45,24.65,0,6.1,360.9,32.2,77.9
2018,5,31,9.45,22.55,0,5.8,370.2,30.2,69.3
2018,6,1,9.15,29.45,0,6.8,356.8,22.1,88.1
2018,6,2,13.15,35.25,0,7.4,355.7,16.3,74.4
2018,6,3,13.95,37.35,0,8.4,352.8,16.5,79.6
2018,6,4,13.05,32.45,0,8.1,359.6,19.4,73.8
2018,6,5,12.05,29.35,0,6.9,345.9,20.3,68.8
2018,6,6,12.25,26.35,0,6.6,359.4,29.1,76.7
2018,6,7,12.15,27.75,0,6.4,358.5,29.3,83.6
2018,6,8,12.55,31.25,0,7.6,359.7,20.9,75.6
2018,6,9,10.25,25.35,0,6.3,347.6,31.7,87.8
2018,6,10,9.85,27.45,0,7.4,360.6,18.2,65.3
2018,6,11,12.15,31.85,0,8.1,346.9,17.4,69.5
2018,6,12,14.35,36.25,0,8.6,358.6,15.6,70.7
2018,6,13,14.05,36.35,0,8.5,359.4,16.4,74.8
2018,6,14,12.85,32.45,0,7.5,360.4,21.2,79.9
2018,6,15,12.35,29.55,0,6.7,358.5,27,85.3
2018,6,16,11.55,28.55,0,6.5,356.9,30,92.6
2018,6,17,13.05,26.35,0,5.7,341.7,33.7,82.3
2018,6,18,13.05,31.35,0,7.4,357.1,24,82
2018,6,19,13.35,33.75,0,7.5,351.9,20.2,80
2018,6,20,12.25,32.45,0,7.4,352.6,21.8,84.5
2018,6,21,11.95,34.55,0,7.8,366.3,16,75.9
2018,6,22,14.45,38.15,0,9.2,364.9,12.1,64.6
2018,6,23,18.55,38.05,0,9.9,361,12,50.7
2018,6,24,14.85,33.95,0,8.8,359.7,18.3,68.5
2018,6,25,13.45,30.65,0,6.9,357.3,26.8,84.4
2018,6,26,12.85,34.15,0,8.1,364.8,15.9,70.2
2018,6,27,12.75,30.75,0,7.4,360.6,18.7,66.8
2018,6,28,13.85,31.05,0,7.1,359.1,21.4,70.5
2018,6,29,14.55,35.55,0,8.5,357.2,16.5,70.1
2018,6,30,18.05,38.05,0,9.2,359.5,13,55.1
2018,7,1,15.65,34.55,0,8.9,362.4,18.4,72.6
2018,7,2,14.65,31.55,0,7.5,360.3,25.8,84.2
2018,7,3,14.05,30.15,0,6.9,361.7,27.8,85.9
2018,7,4,12.95,26.55,0,6,359.2,36,92.7
2018,7,5,12.95,32.55,0,7.3,361.9,19.7,80.3
2018,7,6,18.55,34.55,0,7.6,302.5,15.8,55.9
2018,7,7,16.85,36.15,0,8.9,351.8,13.4,59.4
2018,7,8,16.15,35.85,0,9,361.7,11.4,55.2
2018,7,9,15.65,36.65,0,8.9,356.3,13.6,65.7
2018,7,10,15.65,36.35,0,8.5,356.5,15.7,71.2
2018,7,11,15.55,35.85,0,7.6,358.9,17.1,74
2018,7,12,17.15,35.15,0,7.7,345.5,19,70.4
2018,7,13,19.35,35.15,0,8.3,343.9,23.5,72.6
2018,7,14,17.15,35.55,0,7.8,340.1,24.6,86.4
2018,7,15,15.85,34.25,0,7.8,350.5,23.4,84
2018,7,16,15.35,36.65,0,8.5,351.8,16.7,76.5
2018,7,17,15.15,37.45,0,8.7,354.8,14.6,73.5
