"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 09/10/2023

Product: Historical Climate (Daily) - gridMET (METDATA)(http://www.climatologylab.org/gridmet.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 36.8167 North,-120.2250 East" 
Variable List: 
tmmn: Min Temperature
tmmx: Max Temperature
pr: Precipitation
pet: ASCE Grass Reference Evapotranspiration (ETo)
srad: Downward Shortwave Radiation
rmin: Min Rel. Humidity
rmax: Max Rel. Humidity
********************************************************
Year,Month,Day,tmmn(degC),tmmx(degC),pr(mm),pet(mm),srad(Wm-2),rmin(%),rmax(%)
2018,5,1,8.65,22.85,0,4.9,264.4,33.5,92.8
2018,5,2,9.45,25.75,0,5.7,346,26.9,87.6
2018,5,3,11.05,27.95,0,6.5,348.2,25.6,86.1
2018,5,4,12.35,30.85,0,6.8,350.7,20.5,79.1
2018,5,5,13.65,30.95,0,6.4,306.1,19.6,71.5
2018,5,6,12.65,28.75,0,6.7,334.2,22.3,73.9
2018,5,7,12.15,31.05,0,8.1,357.6,19.8,78.8
2018,5,8,13.35,32.75,0,8.5,346,17.9,74.9
2018,5,9,12.15,30.15,0,7.4,352.5,25.4,90.3
2018,5,10,12.05,29.45,0,7.5,352.8,23.3,82
2018,5,11,11.25,28.35,0,7.5,355.2,23.1,80.6
2018,5,12,11.55,28.55,0,7.2,359.1,18,67.2
2018,5,13,11.35,28.15,0,6.6,355.4,23.6,80.7
2018,5,14,11.75,28.45,0,6.5,354.6,26.4,86.9
2018,5,15,11.95,27.75,0,6.2,355.8,28.8,88.5
2018,5,16,11.25,23.55,0,5.6,348,34.4,84.2
2018,5,17,10.85,27.35,0,7.1,360.2,25.9,85.2
2018,5,18,12.25,29.55,0,7.2,356.1,28.6,95.1
2018,5,19,12.05,30.45,0,7.6,339.2,25.1,91.5
2018,5,20,11.25,27.05,0,6.9,343,26.3,83
2018,5,21,11.55,27.45,0,6.7,344.9,27.9,86.9
2018,5,22,13.75,29.35,0,6.8,358.1,28.4,85.6
2018,5,23,12.85,28.85,0,6.6,359.9,29.5,90.6
2018,5,24,12.45,27.05,0,6.2,360.5,31.5,88.5
2018,5,25,11.95,21.15,0,4,225.8,44.1,86
2018,5,26,11.35,25.15,0,6.6,363.3,32.9,88.2
2018,5,27,12.65,29.45,0,6.9,364.3,27.7,90.2
